PROD_EST,COBERTURA,ANIO,ID_MES,MARCA,SEGMENTO,FUENTE_DE_ENERGIA,MENUDEO,MAYOREO
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Dina,Pasajeros,Diésel,1,0
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Dina,Pasajeros,Eléctrico,0,0
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Dina,Pasajeros,Gas natural vehicular,0,0
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Freightliner,Carga,Diésel,621,558
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Hino,Carga,Diésel,113,12
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Hino,Carga,Híbrido,2,2
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Hino,Pasajeros,Diésel,4,0
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,International,Carga,Diésel,357,271
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,International,Pasajeros,Diésel,63,35
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Isuzu,Carga,Diésel,258,260
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Isuzu,Pasajeros,Diésel,1,1
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Kenworth,Carga,Diésel,395,496
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Kenworth,Carga,Gas natural vehicular,0,0
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Mack Trucks,Carga,Diésel,13,10
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Man Truck And Bus México,Carga,Diésel,0,0
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Man Truck And Bus México,Pasajeros,Diésel,14,0
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Mercedes-Benz Autobuses,Pasajeros,Diésel,199,195
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Scania,Carga,Diésel,34,34
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Scania,Carga,Gas natural vehicular,12,12
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Scania,Pasajeros,Diésel,31,31
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Scania,Pasajeros,Gas natural vehicular,0,0
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Volkswagen Camiones y Autobuses,Carga,Diésel,32,43
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Volkswagen Camiones y Autobuses,Pasajeros,Diésel,33,13
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Volvo Buses,Pasajeros,Diésel,71,71
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Volvo Trucks,Carga,Diésel,20,38
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	03,Volvo Trucks,Carga,Gas natural vehicular,0,0
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	04,Dina,Carga,Eléctrico,0,0
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	04,Dina,Carga,Gasolina,0,0
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	04,Dina,Pasajeros,Diésel,3,0
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	04,Dina,Pasajeros,Eléctrico,0,0
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	04,Dina,Pasajeros,Gas natural vehicular,0,0
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	04,Freightliner,Carga,Diésel,382,578
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	04,Hino,Carga,Diésel,58,8
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	04,Hino,Carga,Híbrido,6,6
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	04,Hino,Pasajeros,Diésel,15,0
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	04,International,Carga,Diésel,229,100
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	04,International,Pasajeros,Diésel,40,6
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	04,Isuzu,Carga,Diésel,42,33
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	04,Isuzu,Pasajeros,Diésel,0,0
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	04,Kenworth,Carga,Diésel,191,6
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	04,Kenworth,Carga,Gas natural vehicular,3,12
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	04,Mack Trucks,Carga,Diésel,13,0
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	04,Man Truck And Bus México,Carga,Diésel,7,9
Registro Administrativo de la Industria Automotriz de Vehículos Pesados. Venta de vehículos pesados,Nacional,2020,	04,Man Truck And Bus México,Pasajeros,Diésel,1,1
